symbol	probe	t	pval	logFC	p_adj
4991	10025909482	6.765031757302818	4.8991395219813975e-11	0.0351012767412529	1.2812130520867463e-10
11054	10025911585	6.802748738410099	4.907938627188073e-11	0.0639612287974816	1.2834287282867152e-10
147372	10023816473	-6.7652448153260245	4.908734155915376e-11	-0.0726873338980254	1.2835513090424438e-10
387721	10025920086	-6.895734752371123	4.909793633896922e-11	-0.0292582571909574	1.2837428871694808e-10
6693	10025906513	6.772411703826194	4.9347110973650726e-11	0.0393422403590774	1.2901720707168534e-10
570	10023814558	-6.7650394075711135	4.957274671994255e-11	-0.0508913377112356	1.2959850190744379e-10
283514	10025916145	-6.758325444716927	5.027853245376488e-11	-0.0446365592497205	1.3143489649832849e-10
9887	10025910798	6.791524821484181	5.038983368645864e-11	0.0594052206567433	1.3171708705690392e-10
63971	10025909406	-6.764115290811485	5.04711974988716e-11	-0.0336658819777154	1.319034356457536e-10
2517	10023817307	-6.727049562117163	5.103058456231016e-11	-0.056753703632519	1.3330327602630463e-10
441070	10025917464	-6.742225954202221	5.111907222066928e-11	-0.0457648116049455	1.3351666712067887e-10
93979	10025903442	-6.759192896187456	5.115245912465199e-11	-0.0357180312674974	1.3359498633087302e-10
340228	10023831550	-6.765963802306118	5.1274555054078174e-11	-0.0351267063096281	1.3390496127413007e-10
123803	10025913100	6.751985528860587	5.168245582301698e-11	0.034905294511521	1.3495226116652975e-10
26520	10023808140	-6.768386524862717	5.1786492189125115e-11	-0.0361334870767598	1.352149304167e-10
340268	10025935564	6.740683236860117	5.2255862729844336e-11	0.0971656451957674	1.3643139169347195e-10
5837	10023818657	6.812842300614838	5.301870159798443e-11	0.1113489082347236	1.383954411728355e-10
29028	10023823243	6.817991523634554	5.305307054200896e-11	0.0653173936907197	1.384759526141346e-10
2908	10023821395	-6.85720094090617	5.352233524408732e-11	-0.088656553949589	1.396729556462762e-10
51599	10025911323	6.736332134407675	5.382031658997526e-11	0.1102478470466427	1.4043191415266562e-10
81034	10025906965	-6.717943954438972	5.4059475820264135e-11	-0.06764773944865	1.4104657656725175e-10
93081	10023848435	-6.743886567925961	5.4110662439000495e-11	-0.0536661727035319	1.411707505714625e-10
221830	10023805384	-6.740909612668548	5.465463284231788e-11	-0.0473091799407787	1.425615232117834e-10
441647	10025917489	6.746483466424185	5.537809128137042e-11	0.0466848362188514	1.4441982641961427e-10
5623	10025904264	6.721662841879946	5.5750146908099286e-11	0.0278597562132779	1.4538045346545444e-10
401145	10023828449	-6.729820190419872	5.593308572850353e-11	-0.0627130981375991	1.458284619285556e-10
25829	10023813716	6.719431982526058	5.592975391404739e-11	0.0429978931538278	1.458284619285556e-10
27235	10023805116	-6.753433272658153	5.6196411530616116e-11	-0.0422584841976823	1.4650527941345994e-10
79269	10025933168	-6.754516345860355	5.655875190736332e-11	-0.0595909074150955	1.4743033876974127e-10
284047	10025904974	6.730703698789765	5.657557079986317e-11	0.1045896608759934	1.4746439422817686e-10
84264	10025912683	-6.746926792974537	5.6623439152500286e-11	-0.0440345622560201	1.4756957868300235e-10
84765	10025905928	6.737436391397182	5.675600687455449e-11	0.0683019259120793	1.4790525774779408e-10
26496	10023829676	6.746102707770652	5.6860583770335066e-11	0.0387192172094041	1.4816347887525458e-10
51614	10023821382	-6.726883507555867	5.692525552108017e-11	-0.035106080227107	1.483167973512887e-10
4324	10023823688	-6.742423076235664	5.694797252741279e-11	-0.0305059997976638	1.4836614451659975e-10
22848	10025905856	-6.734335757445964	5.7218756504864216e-11	-0.0492621042764146	1.4904195991452697e-10
389337	10023826474	6.750329115927945	5.775913029957519e-11	0.088045229718985	1.5041958749368916e-10
283316	10025903112	-6.728685788588625	5.7795606511418036e-11	-0.0705014604344503	1.5050460247736015e-10
84140	10023838006	-6.735462149866488	5.8012434192978766e-11	-0.0494277335611296	1.5105922539610247e-10
124944	10023842747	-6.744381156719697	5.823950584889873e-11	-0.0410946614854653	1.5162034661616794e-10
221823	10025909608	-6.841698449151159	5.826473265345012e-11	-0.0740523733583439	1.5167596915816296e-10
55321	10023820377	-6.709479073214707	5.8515265941546e-11	-0.0561649128689311	1.5230797469908735e-10
10544	10023807165	6.72441329657759	5.860140225428905e-11	0.1036555982397082	1.5251196452318783e-10
56914	10025913140	-6.802027853477495	5.868964815551625e-11	-0.0446898135356605	1.5272318165412942e-10
392	10023811232	6.726002671825945	5.86903367380113e-11	0.0620354336600287	1.5272318165412942e-10
284263	10025931875	6.766678222407643	5.913166202137751e-11	0.0406113923868484	1.53861399324305e-10
2811	10025904680	6.72786766107524	5.935752479608929e-11	0.043833480238648	1.544286378321889e-10
92379	10025907379	6.706849415473492	5.973128807080935e-11	0.0304157209026916	1.5538046327293982e-10
10467	10025904430	6.712431574676788	6.004606105485555e-11	0.0323474119034559	1.5617860404149954e-10
79414	10023846264	-6.769252709662768	6.038288857549568e-11	-0.0538601214002198	1.57013098321559e-10
347527	10025926745	6.74502174536518	6.0426783410617e-11	0.0356007154108485	1.5711683672264748e-10
7080	10025903333	-6.825523113304206	6.047127500499253e-11	-0.0962605971756735	1.5722211293328744e-10
4594	10023824883	6.747130003696385	6.054784638198359e-11	0.0338985218014791	1.5741077542420514e-10
1397	10023805662	-6.71061721862347	6.057574463771467e-11	-0.0550302878342757	1.5747288215548855e-10
286441	10025931122	-6.719166336306182	6.102255379139217e-11	-0.0400595007272816	1.586029188728833e-10
339123	10025925476	6.719217008357078	6.139410885455024e-11	0.0285236409701951	1.5953695394328747e-10
57545	10025928171	6.711009838792338	6.141810088483879e-11	0.0391398256049106	1.5958874133468728e-10
168374	10025909298	6.7992757477135255	6.144663420640091e-11	0.0619463122566755	1.5965232118186455e-10
3850	10025907929	6.736585546166475	6.168340988078825e-11	0.0193276010346928	1.6025691779333039e-10
84648	10023835000	6.72352353530448	6.20023312373102e-11	0.0280797889121594	1.61074839351954e-10
79948	10025910031	-6.724068609159134	6.240127820073997e-11	-0.0743601140718368	1.6208981667273284e-10
164714	10025917224	-6.767610008694866	6.255404700212497e-11	-0.0336297742398993	1.624544109913037e-10
6877	10025913376	6.757304087109024	6.278955363798116e-11	0.0393540434057283	1.6304446796456002e-10
7083	10023810770	6.782443693097031	6.280706050863263e-11	0.086778880766791	1.6307914706366271e-10
5681	10025910136	6.727556621066425	6.291856732185676e-11	0.0610387801548699	1.6335787721611035e-10
11133	10025907752	6.701843839845235	6.305271358934692e-11	0.0470761264271804	1.6369534631788148e-10
57670	10023845311	-6.733252772843623	6.308767703674429e-11	-0.060436481912369	1.6376446960106503e-10
10615	10023805546	6.715134251678201	6.324909440823799e-11	0.0734285342849229	1.64172631226828e-10
1776	10023811806	6.6989045090265495	6.389027328889147e-11	0.0836964334442099	1.6580403903195406e-10
7755	10025910290	6.753712957877303	6.418808992148882e-11	0.0514814793326196	1.6656590950096326e-10
390927	10025921977	-6.695924496392267	6.427141297126109e-11	-0.0289090208852167	1.6677111253211358e-10
221044	10025903274	6.735539887481234	6.495282518864133e-11	0.0534594048711604	1.6850584330029932e-10
221584	10023813640	-6.728693162652669	6.553114724197254e-11	-0.0248573676470002	1.699724949593688e-10
140545	10023813183	6.739384324742761	6.566216739411148e-11	0.0214918632681693	1.7030108519251892e-10
79172	10025911614	-6.802803810724494	6.569286151537113e-11	-0.0407138052155557	1.7036944409902142e-10
1747	10025904428	6.740003020386619	6.588380707331934e-11	0.0326256238300226	1.708533664646454e-10
5101	10023827808	-6.713390565554883	6.615338040526619e-11	-0.0620928234182619	1.7152978957811452e-10
552	10025912903	-6.749578458920522	6.647229087950151e-11	-0.0254946809908526	1.723225703370393e-10
494470	10025913030	-6.705448046555578	6.745284948273468e-11	-0.038630062679174	1.7485302763029223e-10
403273	10025916158	-6.681541366014063	6.799246791604739e-11	-0.0522745908939223	1.762285806494452e-10
79797	10023844270	6.72089243549654	6.85715220701461e-11	0.0322215831781323	1.777176950986631e-10
26586	10023825416	-6.721471765420035	6.894273392779547e-11	-0.0723443305843079	1.786561940020983e-10
257177	10023844793	6.678719817626653	6.941593503399365e-11	0.1047090051480624	1.7987056719673262e-10
249	10025910828	6.718862589071439	6.955562937856092e-11	0.0774613611116868	1.8022065448482012e-10
23630	10025910075	-6.731244666425962	6.962089047711289e-11	-0.0798051926228785	1.8037387578074488e-10
391191	10031920256	-6.712923068887803	6.965398633106254e-11	-0.0476786986222395	1.8043979312036776e-10
55644	10025904975	-6.691866094456048	6.98200467137388e-11	-0.0502473002137476	1.8085804767315087e-10
83992	10025911720	-6.721982202982195	7.008360423236212e-11	-0.0621061825936757	1.8150484434938912e-10
57380	10025909410	-6.796082834018424	7.03728042681701e-11	-0.0756777813234888	1.8221778191520904e-10
2355	10025909245	6.700313078507688	7.068635010639302e-11	0.07739195250376	1.8301758830526124e-10
2621	10023819751	6.752695132839937	7.094469218103138e-11	0.0379876309645901	1.8366739025436362e-10
283987	10025905704	6.744768992124012	7.134310824209703e-11	0.062278151963536	1.846815138888607e-10
6204	10023811479	6.76553474429635	7.156740571925554e-11	0.0522139081931589	1.8523772381736672e-10
115811	10023844408	6.690265785420627	7.16504038634027e-11	0.0457033061784959	1.8544032837546668e-10
286336	10025908764	6.71712353638745	7.180057002915691e-11	0.0980443694388761	1.858167341379156e-10
54765	10025905018	-6.889890742544573	7.244815972064e-11	-0.1080577168860509	1.8744326925482407e-10
55082	10023818053	6.699828473446646	7.364494617820411e-11	0.045628533035977	1.905145867939843e-10
84659	10025907682	-6.71088519717651	7.443157672063454e-11	-0.0305424873904068	1.9249883681765367e-10
10068	10025906101	6.728578155319881	7.5098586718735e-11	0.0250774811907355	1.941855365882372e-10
221491	10025911145	-6.681049419998366	7.562568502151612e-11	-0.0375084173710602	1.9552273465708902e-10
441113	10023847607	-6.680316009481821	7.567051046783304e-11	-0.1071533912515718	1.9562575037360022e-10
55028	10025906298	-6.748769195685899	7.603465258335838e-11	-0.0765498691532443	1.9655420555934959e-10
5562	10023827589	-6.671302413483743	7.61951004900418e-11	-0.042069031520791	1.9694305107908416e-10
5652	10023809425	6.744396004060536	7.639044864378257e-11	0.0423253790126546	1.9743497978206207e-10
6369	10023823984	-6.719214631098056	7.791501253896508e-11	-0.0185391855702691	2.0129582297622656e-10
55056	10025908157	-6.699360762373469	7.792125280065027e-11	-0.0613265861490548	2.0129870503186728e-10
10150	10025912860	-6.736063564834144	7.83058567509754e-11	-0.0873267917812944	2.0226567062394382e-10
6528	10025906082	6.663816987647381	7.903465466278288e-11	0.0434207204314115	2.0412132521231583e-10
9861	10023807956	-6.694473291599516	8.055194560101594e-11	-0.0408386064692829	2.0795796406230077e-10
245912	10031919865	6.682310346119827	8.140654470496774e-11	0.0446721284870371	2.10122820082214e-10
84842	10023836110	-6.715949171204446	8.193732416386118e-11	-0.0510116727234888	2.1146505211277704e-10
81688	10023809568	6.653481852846731	8.247245405248847e-11	0.0429364189633609	2.1283213949029283e-10
339622	10025919846	-6.656551169639663	8.298162787325169e-11	-0.0459706154270284	2.1410393739236248e-10
10803	10025907087	6.6486624754815	8.326413268425091e-11	0.0777398474928148	2.1481872787109202e-10
79815	10025912034	-6.807921678468629	8.359429935029261e-11	-0.0695407263581056	2.1564221964139315e-10
401431	10025933328	-6.697912429778616	8.393412980050042e-11	-0.0595795760039285	2.1649042081316277e-10
340526	10023814500	-6.656501319893259	8.414577809455734e-11	-0.0664624565748161	2.169793319473651e-10
51402	10025904366	6.662270259984132	8.421397046937872e-11	0.0537042999064927	2.171409189994221e-10
55821	10025909145	6.678137673449391	8.422787247349814e-11	0.1308552614511629	2.171625094032824e-10
84545	10025903295	6.657261344757568	8.483889698714708e-11	0.0671495433660591	2.1872354119553274e-10
