id,label,prob_omics
GSM1423915,1,0.94127446
GSM1424036,1,0.9815863
GSM1424190,0,0.011700022
GSM1423863,1,0.9877384
GSM1424033,1,0.96606797
GSM1424002,1,0.99010617
GSM1423806,1,0.9685782
GSM1423960,1,0.9832622
GSM1424173,0,0.041394446
GSM1424091,0,0.0062648924
GSM1424226,0,0.008963553
GSM1424174,0,0.017583909
GSM1424212,0,0.0058748135
GSM1423995,1,0.9470525
GSM1424189,0,0.012578456
GSM1424185,0,0.029046662
GSM1423950,1,0.085871264
GSM1424090,0,0.022987183
GSM1424211,0,0.038979873
GSM1423790,1,0.9896571
GSM1423781,1,0.7393649
GSM1424119,0,0.0036312859
GSM1424208,0,0.0017686875
GSM1424001,1,0.9957196
GSM1423780,1,0.7791366
GSM1423908,1,0.9699449
GSM1423873,1,0.9738037
GSM1423924,1,0.91448903
GSM1424218,0,0.09695701
GSM1424148,0,0.0025838346
GSM1424171,0,0.0036558046
GSM1423972,1,0.9558834
GSM1423788,1,0.9777594
GSM1424191,0,0.011976058
GSM1424097,0,0.0032891114
GSM1424159,0,0.0034392541
GSM1423998,1,0.970394
GSM1424167,0,0.015267894
GSM1424202,0,0.00456495
GSM1424145,0,0.0324583
GSM1424183,0,0.0026938117
GSM1423850,1,0.981631
GSM1423965,1,0.9522061
GSM1424179,0,0.009784375
GSM1423887,1,0.98240143
GSM1423990,1,0.9648189
GSM1424186,0,0.011274086
GSM1423802,1,0.95945984
GSM1423874,1,0.9914739
GSM1423784,1,0.97558707
GSM1424209,0,0.0026671893
GSM1424045,1,0.97101474
GSM1423844,1,0.96184134
GSM1423845,1,0.95455235
GSM1423955,1,0.9823825
GSM1424031,1,0.9810034
GSM1424134,0,0.017708018
GSM1423826,1,0.9546599
GSM1423897,1,0.98537874
GSM1424151,0,0.0043467917
GSM1423847,1,0.97598207
GSM1424019,1,0.98908854
GSM1424198,0,0.01437622
GSM1423921,1,0.98539644
GSM1424203,0,0.0042731375
GSM1424115,0,0.013481333
GSM1424150,0,0.0068175625
GSM1424235,0,0.011154775
GSM1423907,1,0.9899463
GSM1423823,1,0.9765945
GSM1423899,1,0.9383581
GSM1424007,1,0.9737704
GSM1424010,1,0.4688584
GSM1423970,1,0.96299344
GSM1424158,0,0.008359529
GSM1423984,1,0.96558994
GSM1423925,1,0.9137326
GSM1424230,0,0.02064315
GSM1423881,1,0.9597761
GSM1424029,1,0.9651011
GSM1423889,1,0.9880606
GSM1423941,1,0.92578375
GSM1423956,1,0.9732108
GSM1423979,1,0.9871128
GSM1424237,0,0.02875604
GSM1424046,1,0.8479061
GSM1424026,1,0.9440239
GSM1424146,0,0.007930391
GSM1423958,1,0.9767935
GSM1423824,1,0.9794224
GSM1424110,0,0.024815228
GSM1423833,1,0.9628778
GSM1423822,1,0.99530655
GSM1423903,1,0.99303645
GSM1423926,1,0.9745223
GSM1424008,1,0.9584378
