probe	t	pval	logFC	p_adj
10023827190	21.088260464299374	1.123054654950996e-67	0.10660369479879596	4.968950323534266e-65
10025903522	21.916626401413872	1.5447460993956605e-67	0.34129818155776	6.741958531584616e-65
10025904103	-20.949376815403873	1.6045628073783145e-67	-0.2357041777244093	6.926068909211011e-65
10025905308	20.683140966643784	1.7412263634676423e-67	0.15222373460114036	7.434279517066195e-65
10033668855	-20.815503675697755	2.0062470554288873e-67	-0.26777588086268755	8.47369724056416e-65
10033668859	-20.581707017027828	2.7070512434445508e-67	-0.3412589286463119	1.1312018387500208e-64
10025910877	-20.57978533921245	3.35771940391832e-67	-0.20430896320784261	1.3883286124832802e-64
10025903284	-21.609409794011224	4.802493926841044e-67	-0.375378896678159	1.9650204317324604e-64
10023823706	22.10056348594814	4.985159508355237e-67	0.4994656021609821	2.018732633898904e-64
10025935604	-20.51021027091379	5.128129213831823e-67	-0.34887931122703925	2.0554379134623877e-64
10025905932	-20.957857373557964	6.325055133506384e-67	-0.21297103989708613	2.5095774307487954e-64
10025904421	21.216435384702734	7.048681028084952e-67	0.2910510523121841	2.768721907831769e-64
10023839349	-20.85544711307141	7.897237655315431e-67	-0.2688859693546825	3.0713217336711894e-64
10023832258	-21.229275708023696	8.353095507053212e-67	-0.17970529716593384	3.2167607011475505e-64
10023827372	20.466763164299977	8.798410432868169e-67	0.2623175827024574	3.355354968961764e-64
10025905312	-20.77794513841233	1.1038855421289561e-66	-0.4109702961295728	4.1692907783485956e-64
10023807117	-20.435338371967983	1.522200364774308e-66	-0.28858656119621945	5.6944790788890305e-64
10025914505	-21.212092486459074	1.572299232166835e-66	-0.2905323514641257	5.826406965991819e-64
10023822861	-20.856694575183365	1.610532286664895e-66	-0.31732521305355255	5.9123091794576716e-64
10023847706	-20.399055311737488	2.42525780042917e-66	-0.32219638481914936	8.82075244452387e-64
10023812338	-20.554971828217457	2.703906174579467e-66	-0.4056593802286008	9.743984819952428e-64
10023820479	-20.34698458570549	2.998074161955705e-66	-0.40087471263316216	1.0705850280147282e-63
10025928631	-20.908705321613837	3.450297904641394e-66	-0.3167498712003082	1.2209702855343599e-63
10023821275	-20.351229380603037	3.914080919982363e-66	-0.5541672471159851	1.3727240940795286e-63
10025905348	-20.32104262686099	3.984719759593568e-66	-0.30763231395106083	1.3851309040427905e-63
10023817721	-20.352451499790266	4.070640783477283e-66	-0.3367370152440538	1.4025857015349796e-63
10025928296	-20.291219589015743	5.010768425845589e-66	-0.2957690188419211	1.7115042066714324e-63
10023822201	-20.40762141328235	5.215192006980233e-66	-0.15632857463860694	1.7659719140877892e-63
10025913703	-20.983434528823192	5.341270941424648e-66	-0.41781651480367776	1.7932061758902578e-63
10023813170	21.18239328045069	7.678194939794715e-66	0.26894873491059584	2.555927942670647e-63
10023826060	-20.237655206498008	9.071781674284434e-66	-0.20085495608625437	2.994450287108341e-63
10023825159	21.161402806325672	9.539661531920144e-66	0.30487235838635707	3.122649208115194e-63
10025907361	21.31559682592754	1.0079724325958592e-65	0.1800119671543055	3.272161748129368e-63
10025904490	-21.091994840228992	1.0215541196867506e-65	-0.3396209265813643	3.2890693296143904e-63
10023811010	-20.212887388386928	1.1590904462775964e-65	-0.33259961463670845	3.7015506284377227e-63
10023807397	-20.666554240333294	1.1905769609546792e-65	-0.16913688452206904	3.7714405666370805e-63
10023810831	-21.121240082650445	1.2255715378358751e-65	-0.5272102365735772	3.851236000495454e-63
10025913209	20.988085075167156	1.4484857348979747e-65	0.21375319340044996	4.50587336987293e-63
10025913125	-21.06983265095245	1.4568378767155348e-65	-0.12672870297273886	4.50587336987293e-63
10025904986	-21.585225661708055	1.5011253687619364e-65	-0.18236747357009453	4.6065784753881924e-63
